20230619.dat
         5.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  15.00  0.00 35.00  0.00 120.00  0.00 140.00  0.00 -0.03402 
4  20.00  0.00 25.00  0.00 65.00  0.00 70.00  0.00 -0.00620 
4  20.00  0.00 25.00  0.00 30.00  0.00 35.00  0.00 -2.61715 
4  20.00  0.00 25.00  0.00 35.00  0.00 40.00  0.00 -0.27475 
4  20.00  0.00 25.00  0.00 40.00  0.00 45.00  0.00 -0.08516 
4  20.00  0.00 25.00  0.00 45.00  0.00 50.00  0.00 -0.06438 
4  20.00  0.00 25.00  0.00 50.00  0.00 55.00  0.00 -0.03434 
4  20.00  0.00 25.00  0.00 55.00  0.00 60.00  0.00 -0.02289 
4  20.00  0.00 25.00  0.00 60.00  0.00 65.00  0.00 -0.01718 
4  20.00  0.00 30.00  0.00 50.00  0.00 60.00  0.00 -0.45519 
4  20.00  0.00 30.00  0.00 60.00  0.00 70.00  0.00 -0.10939 
4  20.00  0.00 30.00  0.00 70.00  0.00 80.00  0.00 -0.03214 
4  20.00  0.00 30.00  0.00 80.00  0.00 90.00  0.00 -0.00205 
4  20.00  0.00 30.00  0.00 90.00  0.00 55.00  0.00 0.30491 
4  20.00  0.00 30.00  0.00 55.00  0.00 65.00  0.00 -0.24199 
4  20.00  0.00 30.00  0.00 65.00  0.00 75.00  0.00 -0.04171 
4  20.00  0.00 30.00  0.00 75.00  0.00 85.00  0.00 -0.01914 
4  20.00  0.00 30.00  0.00 85.00  0.00 95.00  0.00 -0.01914 
4  20.00  0.00 35.00  0.00 70.00  0.00 85.00  0.00 -0.07771 
4  20.00  0.00 35.00  0.00 85.00  0.00 100.00  0.00 -0.05101 
4  20.00  0.00 35.00  0.00 100.00  0.00 115.00  0.00 -0.02672 
4  20.00  0.00 35.00  0.00 115.00  0.00 75.00  0.00 0.11050 
4  20.00  0.00 35.00  0.00 75.00  0.00 90.00  0.00 -0.03158 
4  20.00  0.00 35.00  0.00 90.00  0.00 105.00  0.00 -0.06072 
4  20.00  0.00 35.00  0.00 105.00  0.00 120.00  0.00 -0.02308 
4  20.00  0.00 35.00  0.00 120.00  0.00 80.00  0.00 0.09839 
4  20.00  0.00 35.00  0.00 80.00  0.00 95.00  0.00 -0.04858 
4  20.00  0.00 35.00  0.00 95.00  0.00 110.00  0.00 -0.02430 
4  20.00  0.00 40.00  0.00 90.00  0.00 110.00  0.00 -0.15617 
4  20.00  0.00 40.00  0.00 110.00  0.00 130.00  0.00 -0.01832 
4  20.00  0.00 40.00  0.00 130.00  0.00 95.00  0.00 0.11428 
4  20.00  0.00 40.00  0.00 95.00  0.00 115.00  0.00 -0.07520 
4  20.00  0.00 40.00  0.00 115.00  0.00 135.00  0.00 -0.05400 
4  20.00  0.00 40.00  0.00 135.00  0.00 100.00  0.00 0.09979 
4  20.00  0.00 40.00  0.00 100.00  0.00 120.00  0.00 -0.05642 
4  20.00  0.00 40.00  0.00 120.00  0.00 140.00  0.00 -0.05449 
4  20.00  0.00 40.00  0.00 140.00  0.00 105.00  0.00 0.09739 
4  20.00  0.00 40.00  0.00 105.00  0.00 125.00  0.00 -0.05789 
4  20.00  0.00 40.00  0.00 125.00  0.00 145.00  0.00 -0.05783 
4  25.00  0.00 30.00  0.00 70.00  0.00 75.00  0.00 -0.01499 
4  25.00  0.00 30.00  0.00 35.00  0.00 40.00  0.00 -5.15998 
4  25.00  0.00 30.00  0.00 40.00  0.00 45.00  0.00 -1.10449 
4  25.00  0.00 30.00  0.00 45.00  0.00 50.00  0.00 -0.64957 
4  25.00  0.00 30.00  0.00 50.00  0.00 55.00  0.00 -0.26096 
4  25.00  0.00 30.00  0.00 55.00  0.00 60.00  0.00 -0.13495 
4  25.00  0.00 30.00  0.00 60.00  0.00 65.00  0.00 -0.06841 
4  25.00  0.00 30.00  0.00 65.00  0.00 70.00  0.00 -0.02437 
4  25.00  0.00 35.00  0.00 55.00  0.00 65.00  0.00 -0.47744 
4  25.00  0.00 35.00  0.00 65.00  0.00 75.00  0.00 -0.09392 
4  25.00  0.00 35.00  0.00 75.00  0.00 85.00  0.00 -0.02598 
4  25.00  0.00 35.00  0.00 85.00  0.00 95.00  0.00 -0.02997 
4  25.00  0.00 35.00  0.00 95.00  0.00 60.00  0.00 0.30173 
4  25.00  0.00 35.00  0.00 60.00  0.00 70.00  0.00 -0.19481 
4  25.00  0.00 35.00  0.00 70.00  0.00 80.00  0.00 -0.05297 
4  25.00  0.00 35.00  0.00 80.00  0.00 90.00  0.00 -0.01799 
4  25.00  0.00 35.00  0.00 90.00  0.00 100.00  0.00 -0.04696 
4  25.00  0.00 40.00  0.00 75.00  0.00 90.00  0.00 -0.06227 
4  25.00  0.00 40.00  0.00 90.00  0.00 105.00  0.00 -0.09988 
4  25.00  0.00 40.00  0.00 105.00  0.00 120.00  0.00 -0.04001 
4  25.00  0.00 40.00  0.00 120.00  0.00 80.00  0.00 0.17018 
4  25.00  0.00 40.00  0.00 80.00  0.00 95.00  0.00 -0.08537 
4  25.00  0.00 40.00  0.00 95.00  0.00 110.00  0.00 -0.06818 
4  25.00  0.00 40.00  0.00 110.00  0.00 125.00  0.00 -0.03115 
4  25.00  0.00 40.00  0.00 125.00  0.00 85.00  0.00 0.15600 
4  25.00  0.00 40.00  0.00 85.00  0.00 100.00  0.00 -0.08618 
4  25.00  0.00 40.00  0.00 100.00  0.00 115.00  0.00 -0.04217 
4  25.00  0.00 45.00  0.00 95.00  0.00 115.00  0.00 -0.09904 
4  25.00  0.00 45.00  0.00 115.00  0.00 135.00  0.00 -0.06532 
4  25.00  0.00 45.00  0.00 135.00  0.00 100.00  0.00 0.12404 
4  25.00  0.00 45.00  0.00 100.00  0.00 120.00  0.00 -0.07778 
4  25.00  0.00 45.00  0.00 120.00  0.00 140.00  0.00 -0.06972 
4  25.00  0.00 45.00  0.00 140.00  0.00 105.00  0.00 0.12841 
4  25.00  0.00 45.00  0.00 105.00  0.00 125.00  0.00 -0.07414 
4  25.00  0.00 45.00  0.00 125.00  0.00 145.00  0.00 -0.07339 
4  25.00  0.00 45.00  0.00 145.00  0.00 110.00  0.00 0.14824 
4  25.00  0.00 45.00  0.00 110.00  0.00 130.00  0.00 -0.09325 
4  25.00  0.00 45.00  0.00 130.00  0.00 150.00  0.00 -0.05137 
4  30.00  0.00 35.00  0.00 75.00  0.00 80.00  0.00 0.00417 
4  30.00  0.00 35.00  0.00 40.00  0.00 45.00  0.00 -2.48805 
4  30.00  0.00 35.00  0.00 45.00  0.00 50.00  0.00 -1.08625 
4  30.00  0.00 35.00  0.00 50.00  0.00 55.00  0.00 -0.38882 
4  30.00  0.00 35.00  0.00 55.00  0.00 60.00  0.00 -0.19244 
4  30.00  0.00 35.00  0.00 60.00  0.00 65.00  0.00 -0.07813 
4  30.00  0.00 35.00  0.00 65.00  0.00 70.00  0.00 -0.02477 
4  30.00  0.00 35.00  0.00 70.00  0.00 75.00  0.00 -0.02859 
4  30.00  0.00 40.00  0.00 60.00  0.00 70.00  0.00 -0.33782 
4  30.00  0.00 40.00  0.00 70.00  0.00 80.00  0.00 -0.06999 
4  30.00  0.00 40.00  0.00 80.00  0.00 90.00  0.00 -0.02287 
4  30.00  0.00 40.00  0.00 90.00  0.00 100.00  0.00 -0.06074 
4  30.00  0.00 40.00  0.00 100.00  0.00 65.00  0.00 0.24482 
4  30.00  0.00 40.00  0.00 65.00  0.00 75.00  0.00 -0.13718 
4  30.00  0.00 40.00  0.00 75.00  0.00 85.00  0.00 -0.04621 
4  30.00  0.00 40.00  0.00 85.00  0.00 95.00  0.00 -0.03996 
4  30.00  0.00 40.00  0.00 95.00  0.00 105.00  0.00 -0.03164 
4  30.00  0.00 45.00  0.00 80.00  0.00 95.00  0.00 -0.10054 
4  30.00  0.00 45.00  0.00 95.00  0.00 110.00  0.00 -0.02933 
4  30.00  0.00 45.00  0.00 110.00  0.00 125.00  0.00 -0.07474 
4  30.00  0.00 45.00  0.00 125.00  0.00 85.00  0.00 0.16898 
4  30.00  0.00 45.00  0.00 85.00  0.00 100.00  0.00 -0.09847 
4  30.00  0.00 45.00  0.00 100.00  0.00 115.00  0.00 -0.04399 
