label,x,y,z,buried
1 42,613128.9063157894,6651254.977894737,131.91048,0
1 43,613129.9284210526,6651255.050526316,131.92874,0
1 44,613130.9505263158,6651255.123157895,131.94255,0
1 45,613131.9726315789,6651255.195789474,131.93623,0
1 46,613132.9947368421,6651255.268421053,131.9274,0
1 47,613134.0168421053,6651255.341052632,131.91978,0
1 48,613135.0389473684,6651255.413684211,131.91838,0
1 49,613136.0610526316,6651255.48631579,131.93605,0
1 50,613137.0831578947,6651255.5589473685,131.9584,0
1 51,613138.1052631579,6651255.631578947,131.98149,0
1 52,613139.1273684211,6651255.704210526,132.00726,0
1 53,613140.1494736841,6651255.776842105,132.0356,0
1 54,613141.1715789473,6651255.849473684,132.07098,0
1 55,613142.1936842105,6651255.922105263,132.09831,0
1 56,613143.2157894736,6651255.994736842,132.13414,0
1 57,613144.2378947368,6651256.067368422,132.14825,0
1 58,613145.26,6651256.140000001,132.1762,0
1 59,613146.2821052631,6651256.2126315795,132.18472,0
1 60,613147.3042105263,6651256.285263158,132.20364,0
1 61,613148.3263157895,6651256.357894737,132.21635,0
1 62,613149.3484210526,6651256.430526316,132.24503,0
1 63,613150.3705263158,6651256.503157895,132.28502,0
1 64,613151.392631579,6651256.575789474,132.34117,0
1 65,613152.414736842,6651256.648421053,132.3691,0
1 66,613153.4368421052,6651256.721052632,132.39427,0
1 67,613154.4589473684,6651256.793684211,132.42297,0
1 68,613155.4810526315,6651256.8663157895,132.46019,0
1 69,613156.5031578947,6651256.938947368,132.46559,0
1 70,613157.5252631579,6651257.011578947,132.4697,0
1 71,613158.547368421,6651257.084210526,132.48639,0
1 72,613159.5694736842,6651257.156842105,132.47856,0
1 73,613160.5915789474,6651257.229473685,132.48187,0
1 74,613161.6136842105,6651257.302105264,132.50195,0
1 75,613162.6357894737,6651257.374736843,132.5158,0
1 76,613163.6578947369,6651257.447368422,132.51718,0
1 77,613164.6799999999,6651257.5200000005,132.59102,0
1 78,613165.7021052631,6651257.592631579,132.72011,0
1 79,613166.7242105263,6651257.665263158,132.83028,0
1 80,613167.7463157894,6651257.737894737,132.9097,0
1 81,613168.7684210526,6651257.810526316,132.94936,0
1 82,613169.7905263158,6651257.883157895,132.82446,0
1 83,613170.8126315789,6651257.955789474,132.63023,0
1 84,613171.8347368421,6651258.028421053,132.62723,0
1 85,613172.8568421053,6651258.101052632,132.61528,0
1 86,613173.8789473684,6651258.1736842105,132.62648,0
1 87,613174.9010526316,6651258.246315789,132.63124,0
1 88,613175.9231578948,6651258.318947368,132.63524,0
1 89,613176.9452631578,6651258.391578948,132.6532,0
1 90,613177.967368421,6651258.464210527,132.68442,0
1 91,613178.9894736842,6651258.536842106,132.69359,0
1 92,613180.0115789473,6651258.609473685,132.70828,0
1 93,613181.0336842105,6651258.682105264,132.71564,0
1 94,613182.0557894737,6651258.754736843,132.72458,0
1 95,613183.0778947368,6651258.8273684215,132.7394,0
1 96,613184.1,6651258.9,132.75142,0
2 1,613047.4,6651240.3,130.46277,0
2 2,613052.2936170213,6651241.346808511,130.746,0
2 3,613057.1872340426,6651242.393617021,130.92828,0
2 4,613062.0808510638,6651243.440425532,130.81648,0
2 5,613066.9744680851,6651244.487234042,130.93079,0
2 6,613071.8680851064,6651245.534042553,131.04597,0
2 7,613076.7617021276,6651246.580851064,131.04485,0
2 8,613081.6553191489,6651247.627659574,131.0901,0
2 9,613086.5489361703,6651248.674468085,131.10112,0
2 10,613091.4425531916,6651249.721276595,131.04399,0
2 11,613096.3361702128,6651250.768085106,131.13065,0
2 12,613101.2297872341,6651251.814893617,131.20718,0
2 13,613106.1234042554,6651252.861702127,131.36841,0
2 14,613111.0170212766,6651253.908510638,131.60172,0
2 15,613115.9106382979,6651254.9553191485,131.76416,0
2 16,613120.8042553192,6651256.0021276595,131.75647,0
2 17,613125.6978723404,6651257.0489361705,131.74458,0
2 18,613130.5914893617,6651258.095744681,131.7548,0
2 19,613135.485106383,6651259.142553192,131.78429,0
2 20,613140.3787234043,6651260.189361702,131.90097,0
2 21,613145.2723404255,6651261.236170213,132.1318,0
2 22,613150.1659574468,6651262.282978724,132.2833,0
2 23,613155.0595744681,6651263.329787234,132.36484,0
2 24,613159.9531914893,6651264.376595745,132.4007,0
2 25,613164.8468085107,6651265.423404255,133.04112,0
2 26,613169.740425532,6651266.470212766,133.64795,0
2 27,613174.6340425533,6651267.517021276,134.21686,0
2 28,613179.5276595745,6651268.563829787,134.37993,0
2 29,613184.4212765958,6651269.610638298,134.57208,0
2 30,613189.3148936171,6651270.657446808,134.30655,0
2 31,613194.2085106383,6651271.704255319,133.70999,0
2 32,613199.1021276596,6651272.751063829,133.2869,0
2 33,613203.9957446809,6651273.79787234,133.27063,0
2 34,613208.8893617021,6651274.844680851,133.2983,0
2 35,613213.7829787234,6651275.891489361,133.39879,0
2 36,613218.6765957447,6651276.938297872,133.50056,0
2 37,613223.570212766,6651277.9851063825,133.53084,0
2 38,613228.4638297872,6651279.031914894,133.73097,0
2 39,613233.3574468085,6651280.078723405,133.65672,0
2 40,613238.2510638298,6651281.125531915,133.7246,0
2 41,613243.1446808511,6651282.172340426,133.91286,0
2 42,613248.0382978724,6651283.219148936,134.0499,0
2 43,613252.9319148937,6651284.265957447,134.21661,0
