Roudabout_allinone_22_06_2023.bin
         1.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  2.00  0.00 6.00  0.00 16.00  0.00 20.00  0.00 -0.11270 
4  2.00  0.00 6.00  0.00 20.00  0.00 24.00  0.00 -0.04602 
4  2.00  0.00 6.00  0.00 24.00  0.00 17.00  0.00 0.11972 
4  2.00  0.00 6.00  0.00 17.00  0.00 21.00  0.00 -0.08529 
4  2.00  0.00 6.00  0.00 21.00  0.00 25.00  0.00 -0.04091 
4  2.00  0.00 6.00  0.00 25.00  0.00 18.00  0.00 0.09598 
4  2.00  0.00 6.00  0.00 18.00  0.00 22.00  0.00 -0.05650 
4  2.00  0.00 6.00  0.00 22.00  0.00 26.00  0.00 -0.04719 
4  2.00  0.00 6.00  0.00 26.00  0.00 19.00  0.00 0.07972 
4  2.00  0.00 6.00  0.00 19.00  0.00 23.00  0.00 -0.03372 
4  2.00  0.00 6.00  0.00 23.00  0.00 27.00  0.00 -0.05275 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 -0.02435 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 -3.06198 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 -0.66845 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 -0.29217 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 -0.10277 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 -0.06289 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 -0.04564 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 -0.03280 
4  3.00  0.00 5.00  0.00 9.00  0.00 11.00  0.00 -0.28623 
4  3.00  0.00 5.00  0.00 11.00  0.00 13.00  0.00 -0.14090 
4  3.00  0.00 5.00  0.00 13.00  0.00 15.00  0.00 -0.06278 
4  3.00  0.00 5.00  0.00 15.00  0.00 17.00  0.00 -0.04010 
4  3.00  0.00 5.00  0.00 17.00  0.00 10.00  0.00 0.36373 
4  3.00  0.00 5.00  0.00 10.00  0.00 12.00  0.00 -0.20015 
4  3.00  0.00 5.00  0.00 12.00  0.00 14.00  0.00 -0.09558 
4  3.00  0.00 5.00  0.00 14.00  0.00 16.00  0.00 -0.04360 
4  3.00  0.00 5.00  0.00 16.00  0.00 18.00  0.00 -0.04045 
4  3.00  0.00 6.00  0.00 13.00  0.00 16.00  0.00 -0.11926 
4  3.00  0.00 6.00  0.00 16.00  0.00 19.00  0.00 -0.07844 
4  3.00  0.00 6.00  0.00 19.00  0.00 22.00  0.00 -0.02513 
4  3.00  0.00 6.00  0.00 22.00  0.00 14.00  0.00 0.16905 
4  3.00  0.00 6.00  0.00 14.00  0.00 17.00  0.00 -0.09745 
4  3.00  0.00 6.00  0.00 17.00  0.00 20.00  0.00 -0.06152 
4  3.00  0.00 6.00  0.00 20.00  0.00 23.00  0.00 -0.00846 
4  3.00  0.00 6.00  0.00 23.00  0.00 15.00  0.00 0.12847 
4  3.00  0.00 6.00  0.00 15.00  0.00 18.00  0.00 -0.08430 
4  3.00  0.00 6.00  0.00 18.00  0.00 21.00  0.00 -0.04652 
4  3.00  0.00 7.00  0.00 17.00  0.00 21.00  0.00 -0.10438 
4  3.00  0.00 7.00  0.00 21.00  0.00 25.00  0.00 -0.04157 
4  3.00  0.00 7.00  0.00 25.00  0.00 18.00  0.00 0.10919 
4  3.00  0.00 7.00  0.00 18.00  0.00 22.00  0.00 -0.08186 
4  3.00  0.00 7.00  0.00 22.00  0.00 26.00  0.00 -0.03332 
4  3.00  0.00 7.00  0.00 26.00  0.00 19.00  0.00 0.08821 
4  3.00  0.00 7.00  0.00 19.00  0.00 23.00  0.00 -0.06317 
4  3.00  0.00 7.00  0.00 23.00  0.00 27.00  0.00 -0.03301 
4  3.00  0.00 7.00  0.00 27.00  0.00 20.00  0.00 0.07458 
4  3.00  0.00 7.00  0.00 20.00  0.00 24.00  0.00 -0.05239 
4  3.00  0.00 7.00  0.00 24.00  0.00 28.00  0.00 -0.02854 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 -0.02002 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 -3.54462 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 -0.77157 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 -0.21430 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 -0.10461 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 -0.07279 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 -0.04913 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 -0.03367 
4  4.00  0.00 6.00  0.00 10.00  0.00 12.00  0.00 -0.25589 
4  4.00  0.00 6.00  0.00 12.00  0.00 14.00  0.00 -0.10637 
4  4.00  0.00 6.00  0.00 14.00  0.00 16.00  0.00 -0.04598 
4  4.00  0.00 6.00  0.00 16.00  0.00 18.00  0.00 -0.03979 
4  4.00  0.00 6.00  0.00 18.00  0.00 11.00  0.00 0.29370 
4  4.00  0.00 6.00  0.00 11.00  0.00 13.00  0.00 -0.16810 
4  4.00  0.00 6.00  0.00 13.00  0.00 15.00  0.00 -0.06589 
4  4.00  0.00 6.00  0.00 15.00  0.00 17.00  0.00 -0.04118 
4  4.00  0.00 6.00  0.00 17.00  0.00 19.00  0.00 -0.03157 
4  4.00  0.00 7.00  0.00 14.00  0.00 17.00  0.00 -0.11136 
4  4.00  0.00 7.00  0.00 17.00  0.00 20.00  0.00 -0.06675 
4  4.00  0.00 7.00  0.00 20.00  0.00 23.00  0.00 -0.03189 
4  4.00  0.00 7.00  0.00 23.00  0.00 15.00  0.00 0.16621 
4  4.00  0.00 7.00  0.00 15.00  0.00 18.00  0.00 -0.09523 
4  4.00  0.00 7.00  0.00 18.00  0.00 21.00  0.00 -0.05356 
4  4.00  0.00 7.00  0.00 21.00  0.00 24.00  0.00 -0.02509 
4  4.00  0.00 7.00  0.00 24.00  0.00 16.00  0.00 0.14457 
4  4.00  0.00 7.00  0.00 16.00  0.00 19.00  0.00 -0.08673 
4  4.00  0.00 7.00  0.00 19.00  0.00 22.00  0.00 -0.04339 
4  4.00  0.00 8.00  0.00 18.00  0.00 22.00  0.00 -0.09746 
4  4.00  0.00 8.00  0.00 22.00  0.00 26.00  0.00 -0.03750 
4  4.00  0.00 8.00  0.00 26.00  0.00 19.00  0.00 0.10313 
4  4.00  0.00 8.00  0.00 19.00  0.00 23.00  0.00 -0.07404 
4  4.00  0.00 8.00  0.00 23.00  0.00 27.00  0.00 -0.03515 
4  4.00  0.00 8.00  0.00 27.00  0.00 20.00  0.00 0.08435 
4  4.00  0.00 8.00  0.00 20.00  0.00 24.00  0.00 -0.06048 
4  4.00  0.00 8.00  0.00 24.00  0.00 28.00  0.00 -0.03141 
4  4.00  0.00 8.00  0.00 28.00  0.00 21.00  0.00 0.07030 
4  4.00  0.00 8.00  0.00 21.00  0.00 25.00  0.00 -0.04689 
4  4.00  0.00 8.00  0.00 25.00  0.00 29.00  0.00 -0.02997 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 -0.01262 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 -3.08100 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 -0.45527 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 -0.15996 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 -0.08206 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 -0.05121 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 -0.03261 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 -0.01824 
4  5.00  0.00 7.00  0.00 11.00  0.00 13.00  0.00 -0.22916 
4  5.00  0.00 7.00  0.00 13.00  0.00 15.00  0.00 -0.07497 
4  5.00  0.00 7.00  0.00 15.00  0.00 17.00  0.00 -0.04247 
4  5.00  0.00 7.00  0.00 17.00  0.00 19.00  0.00 -0.03206 
4  5.00  0.00 7.00  0.00 19.00  0.00 12.00  0.00 0.23919 
4  5.00  0.00 7.00  0.00 12.00  0.00 14.00  0.00 -0.13215 
4  5.00  0.00 7.00  0.00 14.00  0.00 16.00  0.00 -0.04941 
4  5.00  0.00 7.00  0.00 16.00  0.00 18.00  0.00 -0.04334 
4  5.00  0.00 7.00  0.00 18.00  0.00 20.00  0.00 -0.02470 
4  5.00  0.00 8.00  0.00 15.00  0.00 18.00  0.00 -0.11727 
4  5.00  0.00 8.00  0.00 18.00  0.00 21.00  0.00 -0.06485 
