Roudabout20_06_2023_modifiedspacing2.5.bin
         2.50
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  10.00  0.00 15.00  0.00 27.50  0.00 32.50  0.00 -0.20552 
4  10.00  0.00 15.00  0.00 32.50  0.00 37.50  0.00 -0.07033 
4  10.00  0.00 15.00  0.00 37.50  0.00 42.50  0.00 -0.03593 
4  10.00  0.00 15.00  0.00 42.50  0.00 47.50  0.00 -0.02357 
4  10.00  0.00 17.50  0.00 35.00  0.00 42.50  0.00 -0.11495 
4  10.00  0.00 17.50  0.00 42.50  0.00 50.00  0.00 -0.05361 
4  10.00  0.00 17.50  0.00 50.00  0.00 57.50  0.00 -0.03774 
4  10.00  0.00 17.50  0.00 57.50  0.00 37.50  0.00 0.15657 
4  10.00  0.00 17.50  0.00 37.50  0.00 45.00  0.00 -0.08500 
4  10.00  0.00 17.50  0.00 45.00  0.00 52.50  0.00 -0.04690 
4  10.00  0.00 17.50  0.00 52.50  0.00 60.00  0.00 -0.03105 
4  10.00  0.00 17.50  0.00 60.00  0.00 40.00  0.00 0.12381 
4  10.00  0.00 17.50  0.00 40.00  0.00 47.50  0.00 -0.06384 
4  10.00  0.00 17.50  0.00 47.50  0.00 55.00  0.00 -0.03882 
4  10.00  0.00 20.00  0.00 45.00  0.00 55.00  0.00 -0.08501 
4  10.00  0.00 20.00  0.00 55.00  0.00 65.00  0.00 -0.04895 
4  10.00  0.00 20.00  0.00 65.00  0.00 47.50  0.00 0.10542 
4  10.00  0.00 20.00  0.00 47.50  0.00 57.50  0.00 -0.07430 
4  10.00  0.00 20.00  0.00 57.50  0.00 67.50  0.00 -0.03966 
4  10.00  0.00 20.00  0.00 67.50  0.00 50.00  0.00 0.09146 
4  10.00  0.00 20.00  0.00 50.00  0.00 60.00  0.00 -0.06183 
4  10.00  0.00 20.00  0.00 60.00  0.00 70.00  0.00 -0.03859 
4  10.00  0.00 20.00  0.00 70.00  0.00 52.50  0.00 0.08289 
4  10.00  0.00 20.00  0.00 52.50  0.00 62.50  0.00 -0.05541 
4  10.00  0.00 20.00  0.00 62.50  0.00 72.50  0.00 -0.03534 
4  12.50  0.00 15.00  0.00 35.00  0.00 37.50  0.00 -0.01451 
4  12.50  0.00 15.00  0.00 17.50  0.00 20.00  0.00 -1.90424 
4  12.50  0.00 15.00  0.00 20.00  0.00 22.50  0.00 -0.52074 
4  12.50  0.00 15.00  0.00 22.50  0.00 25.00  0.00 -0.22085 
4  12.50  0.00 15.00  0.00 25.00  0.00 27.50  0.00 -0.11733 
4  12.50  0.00 15.00  0.00 27.50  0.00 30.00  0.00 -0.07020 
4  12.50  0.00 15.00  0.00 30.00  0.00 32.50  0.00 -0.04531 
4  12.50  0.00 15.00  0.00 32.50  0.00 35.00  0.00 -0.02332 
4  12.50  0.00 17.50  0.00 27.50  0.00 32.50  0.00 -0.31982 
